"File","Path","Score","Functions","APIs","Patterns","Categories"
,,,"m163_setOutput;m163","mcSignalGetHandle;mcSignalSetState","Parameter Handling","M-Code"
,,,"InMacroHold;vectorAngle;PointData;pointRotateScale;vectorCreate;vectorMag;pointCreate;pointPointDist;GetPosition;GetFixOffsetVars;SetFixtureOffset;mc.mcCntlCntlEnable;RunVision;m68;mc.mcCntlEnable;m168;mc.mcCntlEnable;m54;m55;m56;m57;m58;m59","mcRegGetHandle;mcCntlMacroAlarm","Parameter Handling","M-Code;UI"
,,,"LeadingZeros;StrVarReplace;GetStringGcode;GenGcode;AssembleLines;LoadParams;SetVals;Update;LoadFEPanel;IncrementSN;SaveFEPanel;SaveParams;CreateFont;RemoveComment;GetNumber;Convertline;G;X;Y;I;J;Z;ConvertFile;f1.Panel","mcProfileGetString","","UI;Tool;FileIO"
,,,"post.SetLetterAngle;post.GetLetterAngle;post.SetLetterStart;post.GetLetterStart;post.SetLetterRotationPoint;post.GetLetterRotationPoint;post.SetTranslation;post.GetSetTranslation;post.setLetterSpace;post.getLetterSpace;post.setXStart;post.setYStart;post.setHeight;post.setRapidHeight;post.setFeedHeight;post.setDepth;post.setFeedPlung;post.setFeedCut;post.setRPM;post.setCool;post.ProgStart;post.ProgEnd;post.calcpoint;post.G0;post.ZDn;post.ZUp;post.G1;post.RotateIJ;post.G2;post.G3;post.AddWidth;post.ClearSettings;post.RotatePoint;post.TranslatePoint;post.ScalePoint","","Probing","Probe"
,,,"OnPaint;main","","","UI"
,,,"OnUpdateUI","mcRegGetHandle","","UI"
,,,"CD.AddWizardIconToWindow;CD.GridDialog;SetupInputGrid;CD.ProgressBar;PulseGauge;KillFunc","","","UI"
,,,"mcCO.AddCoroutineToTable;tbl.CheckCoroutine","","Coroutines",""
,,,"email","","",""
,,,"PrintError;SetINI;GetINI;WriteOnStartUp;CreateRegister;GetItem","mcProfileGetString;mcRegGetHandle","",""
